Season;Team;No.;Player;Pos;Ht;Wt;Birth Date;Country;Exp;College
1952-53;Milwaukee Hawks;10;Bill Calhoun;SF;6-3;180;November 4, 1927;us;4;City College of San Francisco
1952-53;Milwaukee Hawks;7;Dillard Crocker;PF;6-4;205;January 19, 1925;us;3;Western Michigan
1952-53;Milwaukee Hawks;10;Pete Darcey;C;6-7;217;March 3, 1930;us;R;Oklahoma State
1952-53;Milwaukee Hawks;;George Feigenbaum;PG;6-1;185;July 2, 1928;us;1;Kentucky
1952-53;Milwaukee Hawks;9;Mel Hutchins;C;6-6;200;November 22, 1928;us;1;BYU
1952-53;Milwaukee Hawks;3;Andrew Levane;SG;6-2;190;April 11, 1920;us;2;St. John's
1952-53;Milwaukee Hawks;4,12;Al Masino;PG;5-10;174;February 5, 1928;us;R;Canisius
1952-53;Milwaukee Hawks;;Bucky McConnell;PG;5-10;170;July 1, 1928;us;R;
1952-53;Milwaukee Hawks;3;Stan Miasek;SF;6-5;210;September 19, 1923;us;5;
1952-53;Milwaukee Hawks;;Eddie Miller;C;6-8;225;June 18, 1931;us;R;Syracuse
1952-53;Milwaukee Hawks;8;Dave Minor;PG;6-2;185;February 23, 1922;us;1;UCLA
1952-53;Milwaukee Hawks;5;Jack Nichols;PF;6-7;222;April 9, 1926;;3;Washington
1952-53;Milwaukee Hawks;3;John O'Boyle;SG;6-2;185;March 7, 1928;;R;Colorado State
1952-53;Milwaukee Hawks;;Mike O'Neill;SF;6-3;210;August 11, 1928;us;R;California
1952-53;Milwaukee Hawks;14;Don Otten;C;6-10;240;April 18, 1921;us;3;Bowling Green
1952-53;Milwaukee Hawks;6;Johnny Payak;SG;6-4;174;November 20, 1926;us;1;Bowling Green
1952-53;Milwaukee Hawks;10,13;George Ratkovicz;PF;6-6;220;November 13, 1922;us;3;
1952-53;Milwaukee Hawks;;Mark Workman;PF;6-9;215;March 10, 1930;us;R;West Virginia
1953-54;Milwaukee Hawks;7;Irv Bemoras;SF;6-3;185;November 18, 1930;us;R;Illinois
1953-54;Milwaukee Hawks;3;Bill Calhoun;SF;6-3;180;November 4, 1927;us;5;City College of San Francisco
1953-54;Milwaukee Hawks;5;Gene Dyker;F;6-6;225;February 17, 1930;us;R;DePaul
1953-54;Milwaukee Hawks;7;Bob Harrison;SG;6-1;190;August 12, 1927;us;4;Michigan
1953-54;Milwaukee Hawks;10,15;Lew Hitch;PF;6-8;200;July 16, 1929;us;2;Kansas State
1953-54;Milwaukee Hawks;10;Red Holzman;PG;5-10;175;August 10, 1920;us;5;City College of New York
1953-54;Milwaukee Hawks;14;Bob Houbregs;C-F;6-8;225;March 12, 1932;ca;R;Washington
1953-54;Milwaukee Hawks;8;Bob Lavoy;PF;6-7;185;June 29, 1926;us;3;Western Kentucky
1953-54;Milwaukee Hawks;8;Don Lofgran;SF;6-5;200;November 8, 1929;us;3;San Francisco
1953-54;Milwaukee Hawks;5;Jack Nichols;PF;6-7;222;April 9, 1926;;4;Washington
1953-54;Milwaukee Hawks;;Bob Peterson;F;6-5;210;January 25, 1932;us;R;Oregon
1953-54;Milwaukee Hawks;13;George Ratkovicz;PF;6-6;220;November 13, 1922;us;4;
1953-54;Milwaukee Hawks;5;Chuck Share;C;6-11;235;March 14, 1927;us;2;Bowling Green
1953-54;Milwaukee Hawks;11;Don Sunderlage;SG;6-1;180;December 20, 1929;us;R;Illinois
1953-54;Milwaukee Hawks;6;Dick Surhoff;PF;6-4;210;November 16, 1929;us;1;Long Island University
1953-54;Milwaukee Hawks;9;Bill Tosheff;PG;6-1;175;June 2, 1926;us;2;Indiana
1953-54;Milwaukee Hawks;6;Isaac Walthour;G;5-11;163;August 25, 1930;us;R;
1953-54;Milwaukee Hawks;14;Max Zaslofsky;SG;6-2;170;December 7, 1925;us;7;St. John's
1954-55;Milwaukee Hawks;3;Bill Calhoun;SG;6-3;180;November 4, 1927;us;6;City College of San Francisco
1954-55;Milwaukee Hawks;15;Chuck Cooper;PF;6-5;210;September 29, 1926;us;4;Duquesne
1954-55;Milwaukee Hawks;4;Fred Diute;SG;6-3;210;January 9, 1929;us;R;St. Bonaventure
1954-55;Milwaukee Hawks;4;Alex Hannum;PF;6-7;210;July 19, 1923;us;5;USC
1954-55;Milwaukee Hawks;7;Bob Harrison;PG;6-1;190;August 12, 1927;us;5;Michigan
1954-55;Milwaukee Hawks;12;Lew Hitch;PF;6-8;200;July 16, 1929;us;3;Kansas State
1954-55;Milwaukee Hawks;8;Ronnie MacGilvray;PG;6-2;185;July 20, 1930;us;R;St. John's
1954-55;Milwaukee Hawks;6;Phil Martin;SF;6-3;190;April 2, 1928;us;R;Toledo
1954-55;Milwaukee Hawks;4;Ken McBride;SG;6-3;190;May 23, 1929;us;R;University of Maryland Eastern Shore
1954-55;Milwaukee Hawks;6;Carl McNulty;SG;6-3;185;February 14, 1930;us;R;Purdue
1954-55;Milwaukee Hawks;;Jackie Moore;SF;6-5;180;September 24, 1932;us;R;La Salle
1954-55;Milwaukee Hawks;9;Bob Pettit;PF;6-9;205;December 12, 1932;us;R;LSU
1954-55;Milwaukee Hawks;13;George Ratkovicz;PF;6-6;220;November 13, 1922;us;5;
1954-55;Milwaukee Hawks;10;Pep Saul;SG;6-2;185;February 16, 1924;us;5;Seton Hall
1954-55;Milwaukee Hawks;8,13,28;Frank Selvy;SF;6-3;180;November 9, 1932;us;R;Furman University
1954-55;Milwaukee Hawks;5;Chuck Share;C;6-11;235;March 14, 1927;us;3;Bowling Green
1954-55;Milwaukee Hawks;12;Bobby Watson;PG;6-0;160;March 22, 1930;us;R;Kentucky
1955-56;St. Louis Hawks;12;Jack Coleman;PF;6-7;195;May 23, 1924;us;6;Louisville
1955-56;St. Louis Hawks;11;Chuck Cooper;F;6-5;210;September 29, 1926;us;5;Duquesne
1955-56;St. Louis Hawks;22;Al Ferrari;SF;6-4;190;July 6, 1933;us;R;Michigan State
1955-56;St. Louis Hawks;6;Alex Hannum;PF;6-7;210;July 19, 1923;us;6;USC
1955-56;St. Louis Hawks;24;Chris Harris;SG;6-3;190;August 11, 1933;gb;R;Dayton
1955-56;St. Louis Hawks;7;Bob Harrison;PG;6-1;190;August 12, 1927;us;6;Michigan
1955-56;St. Louis Hawks;24;Jack McMahon;PG;6-1;185;December 3, 1928;us;3;St. John's
1955-56;St. Louis Hawks;11,27;Med Park;SF;6-2;205;April 11, 1933;us;R;Missouri
1955-56;St. Louis Hawks;9;Bob Pettit;C;6-9;205;December 12, 1932;us;1;LSU
1955-56;St. Louis Hawks;12;Dick Ricketts;PF;6-7;215;December 4, 1933;us;R;Duquesne
1955-56;St. Louis Hawks;27;Bob Schafer;SG;6-3;195;March 29, 1933;us;R;Villanova
1955-56;St. Louis Hawks;28;Frank Selvy;SG;6-3;180;November 9, 1932;us;1;Furman University
1955-56;St. Louis Hawks;5;Chuck Share;C;6-11;235;March 14, 1927;us;4;Bowling Green
1955-56;St. Louis Hawks;15;Jack Stephens;SG;6-3;185;May 18, 1933;;R;Notre Dame
1956-57;St. Louis Hawks;25;John Barber;F;6-6;210;June 27, 1927;;R;California State University, Los Angeles
1956-57;St. Louis Hawks;26;Irv Bemoras;SF;6-3;185;November 18, 1930;us;1;Illinois
1956-57;St. Louis Hawks;12;Jack Coleman;PF;6-7;195;May 23, 1924;us;7;Louisville
1956-57;St. Louis Hawks;6,17;Cliff Hagan;SF;6-4;210;December 9, 1931;us;R;Kentucky
1956-57;St. Louis Hawks;33;Alex Hannum;PF;6-7;210;July 19, 1923;us;7;USC
1956-57;St. Louis Hawks;;Bob Harrison;G;6-1;190;August 12, 1927;us;7;Michigan
1956-57;St. Louis Hawks;20,5;Ed Macauley;PF;6-8;185;March 22, 1928;us;7;Saint Louis
1956-57;St. Louis Hawks;22;Slater Martin;PG;5-10;170;October 22, 1925;us;7;Texas
1956-57;St. Louis Hawks;21;Jack McMahon;SG;6-1;185;December 3, 1928;us;4;St. John's
1956-57;St. Louis Hawks;33;Willie Naulls;F-C;6-6;225;October 7, 1934;us;R;UCLA
1956-57;St. Louis Hawks;32;Med Park;SG;6-2;205;April 11, 1933;us;1;Missouri
1956-57;St. Louis Hawks;9;Bob Pettit;C;6-9;205;December 12, 1932;us;2;LSU
1956-57;St. Louis Hawks;70;Chuck Share;C;6-11;235;March 14, 1927;us;5;Bowling Green
1956-57;St. Louis Hawks;15;Odie Spears;SF;6-5;205;June 17, 1924;us;7;Western Kentucky
1956-57;St. Louis Hawks;22;Norm Stewart;F;6-5;205;January 20, 1935;us;R;Missouri
1957-58;St. Louis Hawks;11;Jack Coleman;PF;6-7;195;May 23, 1924;us;8;Louisville
1957-58;St. Louis Hawks;12;Walt Davis;PF;6-8;205;January 5, 1931;us;4;Texas A&M
1957-58;St. Louis Hawks;16;Cliff Hagan;SF;6-4;210;December 9, 1931;us;1;Kentucky
1957-58;St. Louis Hawks;20;Ed Macauley;C;6-8;185;March 22, 1928;us;8;Saint Louis
1957-58;St. Louis Hawks;22;Slater Martin;PG;5-10;170;October 22, 1925;us;8;Texas
1957-58;St. Louis Hawks;21;Jack McMahon;SG;6-1;185;December 3, 1928;us;5;St. John's
1957-58;St. Louis Hawks;12;Red Morrison;C;6-8;220;April 26, 1932;us;2;Idaho
1957-58;St. Louis Hawks;17;Med Park;SG;6-2;205;April 11, 1933;us;2;Missouri
1957-58;St. Louis Hawks;17;Worthy Patterson;G;6-2;175;June 17, 1931;us;R;UConn
1957-58;St. Louis Hawks;9;Bob Pettit;PF;6-9;205;December 12, 1932;us;3;LSU
1957-58;St. Louis Hawks;19;Frank Selvy;G-F;6-3;180;November 9, 1932;us;2;Furman University
1957-58;St. Louis Hawks;13;Chuck Share;C;6-11;235;March 14, 1927;us;6;Bowling Green
1957-58;St. Louis Hawks;15;Win Wilfong;PG;6-2;185;March 18, 1933;us;R;Memphis
1958-59;St. Louis Hawks;11,26;Al Ferrari;SG;6-4;190;July 6, 1933;us;1;Michigan State
1958-59;St. Louis Hawks;33;Dave Gambee;SF;6-6;215;April 16, 1937;us;R;Oregon State
1958-59;St. Louis Hawks;17;Si Green;PG;6-2;185;August 20, 1933;us;1;Duquesne
1958-59;St. Louis Hawks;16;Cliff Hagan;SF;6-4;210;December 9, 1931;us;2;Kentucky
1958-59;St. Louis Hawks;34;Clyde Lovellette;C;6-9;234;September 7, 1929;us;5;Kansas
1958-59;St. Louis Hawks;20;Ed Macauley;C;6-8;185;March 22, 1928;us;9;Saint Louis
1958-59;St. Louis Hawks;22;Slater Martin;PG;5-10;170;October 22, 1925;us;9;Texas
1958-59;St. Louis Hawks;21;Jack McMahon;SG;6-1;185;December 3, 1928;us;6;St. John's
1958-59;St. Louis Hawks;17;Med Park;SG;6-2;205;April 11, 1933;us;3;Missouri
1958-59;St. Louis Hawks;9;Bob Pettit;PF;6-9;205;December 12, 1932;us;4;LSU
1958-59;St. Louis Hawks;12,19;Hub Reed;C;6-9;215;October 4, 1936;us;R;Oklahoma City University
1958-59;St. Louis Hawks;13;Chuck Share;C;6-11;235;March 14, 1927;us;7;Bowling Green
1958-59;St. Louis Hawks;10,15;Win Wilfong;PG;6-2;185;March 18, 1933;us;1;Memphis
1959-60;St. Louis Hawks;11;Al Ferrari;SG;6-4;190;July 6, 1933;us;2;Michigan State
1959-60;St. Louis Hawks;20;Bob Ferry;C;6-8;230;May 31, 1937;us;R;Saint Louis
1959-60;St. Louis Hawks;13;Larry Foust;C;6-9;215;June 24, 1928;us;9;La Salle
1959-60;St. Louis Hawks;12;Dave Gambee;SF;6-6;215;April 16, 1937;us;1;Oregon State
1959-60;St. Louis Hawks;17;Si Green;PG;6-2;185;August 20, 1933;us;2;Duquesne
1959-60;St. Louis Hawks;16;Cliff Hagan;SF;6-4;210;December 9, 1931;us;3;Kentucky
1959-60;St. Louis Hawks;34;Clyde Lovellette;C;6-9;234;September 7, 1929;us;6;Kansas
1959-60;St. Louis Hawks;22;Slater Martin;PG;5-10;170;October 22, 1925;us;10;Texas
1959-60;St. Louis Hawks;15;Johnny McCarthy;SG;6-1;185;April 25, 1934;us;2;Canisius
1959-60;St. Louis Hawks;21;Jack McMahon;PG;6-1;185;December 3, 1928;us;7;St. John's
1959-60;St. Louis Hawks;9;Bob Pettit;PF;6-9;205;December 12, 1932;us;5;LSU
1959-60;St. Louis Hawks;12,25;Dave Piontek;SF;6-6;230;August 27, 1934;us;3;Xavier
1959-60;St. Louis Hawks;13;Cal Ramsey;SF;6-4;200;July 13, 1937;us;R;NYU
1959-60;St. Louis Hawks;19;Hub Reed;C;6-9;215;October 4, 1936;us;1;Oklahoma City University
1959-60;St. Louis Hawks;13;Chuck Share;C;6-11;235;March 14, 1927;us;8;Bowling Green
1960-61;St. Louis Hawks;12;Ernie Beck;SG;6-4;190;December 11, 1931;us;6;Penn
1960-61;St. Louis Hawks;11;Al Ferrari;SG;6-4;190;July 6, 1933;us;3;Michigan State
1960-61;St. Louis Hawks;13;Larry Foust;C;6-9;215;June 24, 1928;us;10;La Salle
1960-61;St. Louis Hawks;17;Si Green;SG;6-2;185;August 20, 1933;us;3;Duquesne
1960-61;St. Louis Hawks;16;Cliff Hagan;SF;6-4;210;December 9, 1931;us;4;Kentucky
1960-61;St. Louis Hawks;19;Fred LaCour;SF;6-5;210;February 7, 1938;;R;San Francisco
1960-61;St. Louis Hawks;34;Clyde Lovellette;C;6-9;234;September 7, 1929;us;7;Kansas
1960-61;St. Louis Hawks;15;Johnny McCarthy;PG;6-1;185;April 25, 1934;us;3;Canisius
1960-61;St. Louis Hawks;9;Bob Pettit;PF;6-9;205;December 12, 1932;us;6;LSU
1960-61;St. Louis Hawks;25;Dave Piontek;SF;6-6;230;August 27, 1934;us;4;Xavier
1960-61;St. Louis Hawks;12;Phil Rollins;G;6-2;185;January 19, 1934;us;2;Louisville
1960-61;St. Louis Hawks;21;Woody Sauldsberry;PF;6-7;220;July 11, 1934;us;3;Texas Southern
1960-61;St. Louis Hawks;32;Lenny Wilkens;PG;6-1;180;October 28, 1937;us;R;Providence
1961-62;St. Louis Hawks;;Stacey Arceneaux;F;6-4;210;February 17, 1936;;R;Iowa State
1961-62;St. Louis Hawks;21;Barney Cable;SF;6-7;175;July 29, 1935;us;3;Bradley
1961-62;St. Louis Hawks;;Jimmy Darrow;G;5-10;170;September 25, 1937;us;R;Bowling Green
1961-62;St. Louis Hawks;29;Archie Dees;C;6-8;205;February 22, 1936;us;3;Indiana
1961-62;St. Louis Hawks;;Rich Eichhorst;G;6-3;200;October 21, 1933;;R;SE Missouri State
1961-62;St. Louis Hawks;11;Al Ferrari;SG;6-4;190;July 6, 1933;us;4;Michigan State
1961-62;St. Louis Hawks;14;Larry Foust;C;6-9;215;June 24, 1928;us;11;La Salle
1961-62;St. Louis Hawks;29;Joe Graboski;F-C;6-7;195;January 15, 1930;;12;
1961-62;St. Louis Hawks;17;Si Green;G-F;6-2;185;August 20, 1933;us;4;Duquesne
1961-62;St. Louis Hawks;16;Cliff Hagan;SF;6-4;210;December 9, 1931;us;5;Kentucky
1961-62;St. Louis Hawks;17;Vern Hatton;SG;6-3;195;January 13, 1936;us;3;Kentucky
1961-62;St. Louis Hawks;24;Cleo Hill;SG;6-1;185;May 24, 1938;us;R;Winston-Salem State
1961-62;St. Louis Hawks;12;Ron Horn;SF;6-7;220;May 24, 1938;us;R;Indiana
1961-62;St. Louis Hawks;19;Fred LaCour;PG;6-5;210;February 7, 1938;;1;San Francisco
1961-62;St. Louis Hawks;34;Clyde Lovellette;C;6-9;234;September 7, 1929;us;8;Kansas
1961-62;St. Louis Hawks;15;Johnny McCarthy;PG;6-1;185;April 25, 1934;us;4;Canisius
1961-62;St. Louis Hawks;25;Shellie McMillon;SF;6-5;205;March 11, 1936;;3;Bradley
1961-62;St. Louis Hawks;9;Bob Pettit;PF;6-9;205;December 12, 1932;us;7;LSU
1961-62;St. Louis Hawks;21;Woody Sauldsberry;PF;6-7;220;July 11, 1934;us;4;Texas Southern
1961-62;St. Louis Hawks;12;Bob Sims;SG;6-5;220;October 9, 1938;;R;Pepperdine
1961-62;St. Louis Hawks;15, 32;Lenny Wilkens;PG;6-1;180;October 28, 1937;us;1;Providence
1962-63;St. Louis Hawks;20;John Barnhill;SG;6-1;180;March 20, 1938;us;R;Tennessee State
1962-63;St. Louis Hawks;14;Zelmo Beaty;C;6-9;225;October 25, 1939;us;R;Prairie View A&M University
1962-63;St. Louis Hawks;10;Bill Bridges;PF;6-6;228;April 4, 1939;us;R;Kansas
1962-63;St. Louis Hawks;21;Barney Cable;SF;6-7;175;July 29, 1935;us;4;Bradley
1962-63;St. Louis Hawks;24;Bob Duffy;PG;6-3;185;September 26, 1940;us;R;Colgate
1962-63;St. Louis Hawks;12;Mike Farmer;SF;6-7;210;September 26, 1936;us;3;San Francisco
1962-63;St. Louis Hawks;16;Cliff Hagan;SF;6-4;210;December 9, 1931;us;6;Kentucky
1962-63;St. Louis Hawks;29;Phil Jordon;C;6-10;205;September 12, 1933;us;6;Whitworth
1962-63;St. Louis Hawks;11;Nick Mantis;SG;6-3;190;December 7, 1935;us;1;Northwestern
1962-63;St. Louis Hawks;10;Bevo Nordmann;C;6-10;225;December 11, 1939;us;1;Saint Louis
1962-63;St. Louis Hawks;9;Bob Pettit;PF;6-9;205;December 12, 1932;us;8;LSU
1962-63;St. Louis Hawks;21;Woody Sauldsberry;PF;6-7;220;July 11, 1934;us;5;Texas Southern
1962-63;St. Louis Hawks;34;Gene Tormohlen;C;6-8;230;May 12, 1937;us;R;Tennessee
1962-63;St. Louis Hawks;17;Chico Vaughn;SG;6-2;190;February 19, 1940;us;R;Southern Illinois
1962-63;St. Louis Hawks;32;Lenny Wilkens;PG;6-1;180;October 28, 1937;us;2;Providence
1963-64;St. Louis Hawks;20;John Barnhill;SG;6-1;180;March 20, 1938;us;1;Tennessee State
1963-64;St. Louis Hawks;31;Zelmo Beaty;C;6-9;225;October 25, 1939;us;1;Prairie View A&M University
1963-64;St. Louis Hawks;32;Bill Bridges;PF;6-6;228;April 4, 1939;us;1;Kansas
1963-64;St. Louis Hawks;24;Bob Duffy;PG;6-3;185;September 26, 1940;us;1;Colgate
1963-64;St. Louis Hawks;12;Mike Farmer;SF;6-7;210;September 26, 1936;us;4;San Francisco
1963-64;St. Louis Hawks;15;Richie Guerin;SG;6-4;195;May 29, 1932;us;7;Iona College
1963-64;St. Louis Hawks;16;Cliff Hagan;SF;6-4;210;December 9, 1931;us;7;Kentucky
1963-64;St. Louis Hawks;10;Bevo Nordmann;C;6-10;225;December 11, 1939;us;2;Saint Louis
1963-64;St. Louis Hawks;9;Bob Pettit;PF;6-9;205;December 12, 1932;us;9;LSU
1963-64;St. Louis Hawks;;Ken Rohloff;G;6-0;195;April 18, 1939;;R;NC State
1963-64;St. Louis Hawks;34;Gene Tormohlen;C;6-8;230;May 12, 1937;us;1;Tennessee
1963-64;St. Louis Hawks;17;Chico Vaughn;SG;6-2;190;February 19, 1940;us;1;Southern Illinois
1963-64;St. Louis Hawks;40;Gerry Ward;SG;6-4;195;September 6, 1941;;R;Boston College
1963-64;St. Louis Hawks;14;Lenny Wilkens;PG;6-1;180;October 28, 1937;us;3;Providence
1964-65;St. Louis Hawks;20;John Barnhill;SG;6-1;180;March 20, 1938;us;2;Tennessee State
1964-65;St. Louis Hawks;31;Zelmo Beaty;C;6-9;225;October 25, 1939;us;2;Prairie View A&M University
1964-65;St. Louis Hawks;32;Bill Bridges;PF;6-6;228;April 4, 1939;us;2;Kansas
1964-65;St. Louis Hawks;34;Ed Burton;F;6-6;225;August 13, 1939;;1;Michigan State
1964-65;St. Louis Hawks;12;Mike Farmer;SF;6-7;210;September 26, 1936;us;5;San Francisco
1964-65;St. Louis Hawks;15;Richie Guerin;SG;6-4;195;May 29, 1932;us;8;Iona College
1964-65;St. Louis Hawks;16;Cliff Hagan;SF;6-4;210;December 9, 1931;us;8;Kentucky
1964-65;St. Louis Hawks;40;Bill McGill;C;6-9;225;September 16, 1939;us;2;Utah
1964-65;St. Louis Hawks;44;Jeff Mullins;SG;6-4;190;March 18, 1942;us;R;Duke
1964-65;St. Louis Hawks;9;Bob Pettit;PF;6-9;205;December 12, 1932;us;10;LSU
1964-65;St. Louis Hawks;29;Paul Silas;PF;6-7;220;July 12, 1943;us;R;Creighton
1964-65;St. Louis Hawks;25;John Tresvant;PF;6-7;215;November 6, 1939;us;R;Seattle University
1964-65;St. Louis Hawks;17;Chico Vaughn;SG;6-2;190;February 19, 1940;us;2;Southern Illinois
1964-65;St. Louis Hawks;14;Lenny Wilkens;PG;6-1;180;October 28, 1937;us;4;Providence
1965-66;St. Louis Hawks;20;John Barnhill;PG;6-1;180;March 20, 1938;us;3;Tennessee State
